anex_xml_id,catalog_hotel_id
12801,17757
12808,47518
12819,17763
12825,148651
12827,9162
12828,23244
12841,42074
12846,40512
12853,4233
12860,49140
12869,41044
12870,32157
12873,22632
12884,48330
12889,47788
12890,32067
12896,30172
12906,29112
12916,48062
12918,46967
12919,4415
12921,30433
12929,48045
12931,43295
12933,43323
12934,40916
12935,40754
12938,43336
12942,16823
12944,16890
12963,8091
12968,16406
12972,7868
12973,7869
12979,46241
12980,46572
12981,37649
12982,16438
12983,37628
12984,150658
12986,50432
12987,46239
12989,44743
13003,10325
13012,16457
13015,47846
13022,16479
13027,9115
13037,9098
13066,47986
13068,1867
13074,9746
13079,60093
13096,40748
13156,32485
13159,23230
13161,49061
13172,37899
13174,50423
13179,37847
13185,107966
13186,69074
13188,129783
13191,9850
13202,9667
13204,10001
13205,25253
13213,10265
13217,10633
13219,10868
13220,10976
13230,9626
13239,9574
13257,9747
13276,9747
13280,9673
13290,30347
13296,19590
13298,19657
13312,1659
13332,49086
13345,44063
13346,48944
13385,9134
13393,46897
13404,16478
13411,47015
13412,59084
13419,4097
13420,855
13423,884
13424,4100
13426,876
13427,44455
13428,23656
13431,32496
13438,51158
13441,23667
13443,50594
13444,44438
13453,46791
13456,10826
13467,21201
13487,51380
13492,47453
13493,30387
13497,856
13498,2086
13500,2085
13504,2088
13506,45561
13511,47492
13521,30517
13526,38387
13528,38523
13534,30499
13545,41894
13550,5411
13551,30627
13553,48329
13556,43676
13557,4161
13559,2100
13561,26766
13563,44441
13564,890
13568,36397
13573,21749
13574,36343
13579,49519
13589,24609
13596,45660
13602,5402
13606,47655
13607,49522
13608,47097
13611,43671
13618,40715
13625,46701
13627,10541
13633,37613
13636,47016
13637,646
13638,40713
13642,50440
13643,40727
13645,48100
13646,48103
13651,48081
13653,40717
13657,50442
13667,50441
13668,40730
13671,49970
13683,37640
13685,40752
13687,50444
13692,46574
13700,44735
13702,40743
13703,40744
13704,40745
13705,42877
13709,50450
13711,37646
13713,40750
13716,43337
13717,98751
13719,37655
13722,37656
13723,37657
13724,37673
13726,37662
13728,46573
13729,50628
13733,48051
13734,31920
13737,16918
13738,37294
13745,50621
13756,46670
13760,50620
13771,43490
13780,12141
13781,58520
13782,24465
13784,33689
13796,56284
13797,3514
13804,7847
13809,20564
13811,51666
13814,4136
13819,50629
13831,56726
13837,51244
13840,50625
13841,2698
13842,2701
13844,37602
13846,40713
13847,50440
13852,44735
13854,50432
13856,37662
13857,37602
13860,40713
13867,44735
13868,50432
13870,37662
13882,37602
13884,40713
13891,50432
13893,37662
13894,48280
13895,47726
13910,51822
13915,50984
13917,49515
13918,49518
13923,40713
13930,37662
13931,28079
13934,2830
13937,2596
13938,15753
13940,2610
13943,37602
13944,8360
13952,37602
13953,40713
13959,46572
13961,37662
13962,37602
13963,40713
13969,37662
13978,1628
13979,51597
13980,8053
13982,2577
13983,2546
13987,51492
13994,48304
14002,45250
14004,24499
14006,43662
14007,24501
14010,33336
14012,22837
14013,50982
14021,50992
14023,15728
14024,52045
14027,43636
14030,51262
14031,33666
14043,21886
14044,21887
14049,21889
14053,21895
14054,26855
14067,21914
14069,21922
14072,32588
14074,48299
14104,21967
14107,21975
14111,50983
14118,21988
14123,21998
14135,22017
14137,22019
14144,22027
14161,22300
14162,22037
14163,22299
14166,22296
14167,22295
14170,22041
14171,32625
14174,22281
14176,22280
14178,22279
14181,26856
14183,21941
14188,21977
14190,45270
14197,26864
14200,26866
14203,55237
14207,51058
14208,32707
14209,32706
14212,22049
14215,22062
14219,31710
14222,22045
14226,33987
14232,22254
14243,22181
14255,50459
14256,48338
14257,56909
14271,44795
14273,22050
14274,22057
14283,32701
14285,22226
14286,22225
14288,22221
14289,22220
14301,22087
14303,50460
14307,22205
14308,22204
14309,26891
14311,22201
14314,26889
14317,22198
14321,22102
14323,32650
14325,22106
14331,65483
14342,61359
14347,22180
14360,32671
14362,44806
14364,22264
14365,22263
14366,22262
14369,22261
14382,22138
14386,67329
14389,47765
14398,22160
14401,32663
14403,22294
14414,22092
14417,26890
14418,22202
14436,26865
14444,22043
14446,22108
14447,22105
14448,22107
14449,22109
14454,57049
14458,21870
14462,22101
14466,22042
14469,21919
14473,54501
14477,26717
14490,50516
14491,2604
14522,49275
14530,51255
14534,50990
14535,50991
14536,48284
14540,46717
14549,43064
14550,43700
14554,51245
14556,50993
